Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
arm_base,-0.011948,-4.5612E-05,-0.02784,0,0,0,0.22108,0.00022005,2.2815E-09,-1.9777E-05,0.0001747,2.1292E-08,0.00020693,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_base.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_base.STL,,arm_base-1;DM-J6006-2EC_20240822_1-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_1,0.0037156,0.072304,0.00092689,0,0,0,0.17851,0.00020871,3.4646E-06,-2.9944E-07,7.259E-05,4.9968E-06,0.00015048,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_1.STL,,arm_link_1_v2-1;DM-J6006-2EC_20240822_1-2,link_1_frame,joint_axis_1,arm_joint_1,revolute,0,0,-0.0395,-1.5708,0,-1.5708,arm_base,0,0,1,0,0,0,0,,,,,,,,
arm_link_2,-0.0074607,-0.13487,-0.013444,0,0,0,0.18663,0.00013119,-1.1814E-05,-3.6992E-06,5.6361E-05,-5.4454E-06,0.00012561,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_2.STL,,arm_link_2_v2-2;arm_link_2_connector_low-1;dm-j4310-2ec-v1.1__3d_20240822_1-1,link_2_frame,joint_axis_2,arm_joint_2,revolute,0.021,0.0835,0,3.1416,-1.5708,0,arm_link_1,0,0,-1,0,0,0,0,,,,,,,,
arm_link_3,0.13255,-0.0072891,-0.013091,0,0,0,0.19102,5.7367E-05,1.173E-05,5.4454E-06,0.00014041,-3.6981E-06,0.00013583,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_3.STL,,arm_link_3_v2-2;arm_link_2_connector_low-3;dm-j4310-2ec-v1.1__3d_20240822_1-2,link_3_frame,joint_axis_3,arm_joint_3,revolute,0.0165,-0.161,-0.0184,-1.5708,0,-1.5708,arm_link_2,0,0,-1,0,0,0,0,,,,,,,,
arm_link_4,-2.4995E-05,0.035969,-0.01384,0,0,0,0.049835,2.5273E-05,9.922E-11,-1.9029E-08,2.114E-05,6.0509E-06,2.5324E-05,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_4.STL,,arm_link_4-1;ms5015v2-2,link_4_frame,joint_axis_4,arm_joint_4,revolute,0.161,0.0165,-0.0184,-1.5708,-1.5708,0,arm_link_3,0,0,-1,0,0,0,0,,,,,,,,
arm_link_5,0.0049169,1.3151E-08,0.011054,0,0,0,0.019778,3.8106E-06,-1.4088E-12,-6.8739E-07,3.3089E-06,-4.902E-12,2.8129E-06,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://arm_urdf_export_v2/meshes/arm_link_5.STL,,arm_link_5_connector_up-1,link_5_frame,joint_axis_5,arm_joint_5,revolute,0,0.0779,-0.026,-1.5708,0,0,arm_link_4,0,0,1,0,0,0,0,,,,,,,,
